st_x,st_y,name1_,timeperiod,area_id,indicator_,unit_id,subgroup_i,data_value
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,1,361348
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,2,9743
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,6,564241
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,7,293364
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,3,273642
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,15,327381
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,4,182529
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,14,239643
92.54236758348142,11.248743089392324,Andaman & Nicobar Islands,19,27,157,2,6,2496
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,14,325080
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,4,125798
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,5,224470
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,1,333551
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,2,48937
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,6,737623
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,7,122096
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,15,413137
85.4075025613911,23.69273850122936,Jharkhand,19,3,157,2,3,597415
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,2,42354
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,1,121569
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,5,157438
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,4,94875
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,14,190407
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,15,238510
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,3,359903
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,6,429684
